                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.4453,                 1.2481,                 1.4341,                0.74794,                0.73975,                  0.803,                0.48176,                 1.3148,                0.99602,                  1.365,             0.00070981,             0.00070981,             0.00070981
                     89,                 1.4171,                 1.2305,                 1.4232,                0.75496,                 0.7267,                0.80211,                0.48144,                 1.3138,                0.97952,                 1.3664,             0.00069881,             0.00069881,             0.00069881
                     90,                 1.4216,                  1.211,                 1.4226,                0.76769,                0.73156,                0.80172,                0.47619,                 1.3221,                0.97849,                 1.3666,              0.0006878,              0.0006878,              0.0006878
                     91,                 1.4295,                 1.2241,                 1.4364,                0.76008,                0.74022,                0.80796,                0.48877,                 1.2988,                0.97539,                 1.3605,              0.0006768,              0.0006768,              0.0006768
                     92,                  1.417,                 1.2091,                 1.4221,                0.75812,                0.73217,                0.80102,                0.48058,                 1.3135,                0.98909,                 1.3552,              0.0006658,              0.0006658,              0.0006658
                     93,                 1.4179,                  1.178,                 1.4208,                0.77683,                0.75159,                0.82066,                0.49952,                 1.2876,                0.93018,                 1.3463,              0.0006548,              0.0006548,              0.0006548
                     94,                 1.4161,                 1.2083,                 1.4286,                0.76629,                 0.7497,                0.82227,                0.49962,                  1.294,                0.93339,                 1.3483,              0.0006438,              0.0006438,              0.0006438
                     95,                 1.4149,                 1.2119,                 1.4248,                0.78841,                0.74188,                0.82844,                0.50466,                 1.2862,                 0.9223,                  1.344,             0.00063279,             0.00063279,             0.00063279
                     96,                  1.387,                 1.1735,                 1.4006,                0.77709,                0.74794,                0.82512,                0.50482,                 1.2772,                0.91904,                 1.3357,             0.00062179,             0.00062179,             0.00062179
                     97,                 1.3992,                 1.1934,                 1.4057,                0.76786,                0.73923,                0.81576,                0.49793,                  1.277,                 0.9438,                 1.3343,             0.00061079,             0.00061079,             0.00061079
                     98,                 1.4072,                  1.185,                 1.4147,                0.78036,                0.75982,                0.83447,                0.51031,                 1.2635,                0.90347,                 1.3288,             0.00059979,             0.00059979,             0.00059979
                     99,                 1.3916,                 1.1684,                  1.401,                0.77867,                0.75767,                0.83507,                0.51415,                 1.2665,                0.89985,                 1.3244,             0.00058878,             0.00058878,             0.00058878
                    100,                 1.3847,                  1.166,                  1.397,                 0.7821,                0.76053,                0.83452,                0.51893,                 1.2529,                0.89933,                 1.3187,             0.00057778,             0.00057778,             0.00057778
                    101,                  1.383,                 1.1579,                 1.3882,                0.77291,                0.77057,                0.83613,                0.51999,                 1.2491,                0.89026,                 1.3153,             0.00056678,             0.00056678,             0.00056678
                    102,                 1.3806,                 1.1671,                 1.3979,                0.79494,                0.76254,                0.84315,                0.52654,                 1.2435,                0.88168,                 1.3145,             0.00055578,             0.00055578,             0.00055578
                    103,                 1.3805,                 1.1676,                 1.3955,                0.78821,                0.77749,                0.84629,                0.53075,                 1.2381,                0.86355,                 1.3096,             0.00054478,             0.00054478,             0.00054478
                    104,                 1.3728,                 1.1521,                  1.384,                0.78726,                0.78882,                0.85194,                0.53514,                 1.2264,                0.85757,                 1.2983,             0.00053377,             0.00053377,             0.00053377
                    105,                 1.3801,                 1.1486,                 1.3982,                0.79405,                0.78003,                0.85073,                0.53458,                 1.2291,                0.86557,                  1.307,             0.00052277,             0.00052277,             0.00052277
                    106,                 1.3738,                 1.1328,                 1.3893,                0.80403,                0.78307,                 0.8582,                0.54393,                 1.2157,                0.83899,                 1.2924,             0.00051177,             0.00051177,             0.00051177
                    107,                 1.3568,                 1.1224,                 1.3805,                 0.8011,                 0.7805,                0.85662,                0.54225,                  1.223,                0.84178,                 1.2938,             0.00050077,             0.00050077,             0.00050077
                    108,                 1.3708,                 1.1212,                 1.3861,                  0.811,                0.78369,                0.86104,                0.54879,                 1.2117,                0.83165,                 1.2825,             0.00048976,             0.00048976,             0.00048976
                    109,                 1.3559,                 1.1044,                 1.3666,                0.80873,                0.78813,                0.86193,                 0.5494,                 1.2093,                0.82814,                 1.2789,             0.00047876,             0.00047876,             0.00047876
                    110,                 1.3479,                 1.1028,                 1.3631,                0.79454,                0.78468,                0.85569,                0.54155,                 1.2217,                0.85203,                 1.2879,             0.00046776,             0.00046776,             0.00046776
